"","title","point","review"
"163","소울","9","소울 덕에 집에가는 길 마저도 나의 불꽃을 찾았어요~^^"
"164","미나리","10","어떤 역사영화보다 감동적"
"165","극장판 귀멸의 칼날: 무한열차편","10","키부츠지 무잔은 등장 안하나요? 왜"
"166","극장판 귀멸의 칼날: 무한열차편","10","키부츠지 무잔은 등장 안하나요? 왜"
"167","미나리","10","마음 따뜻한 영화입니다자극적인 영화만보다가~~~편하하게 관람 강추~~~"
"168","미나리","10","마음 따뜻한 영화입니다자극적인 영화만보다가~~~편하하게 관람 강추~~~"
"169","협상","10","딴건 다 필요없고 현빈 손예진 연기에 감동받았습니다."
"170","협상","10","딴건 다 필요없고 현빈 손예진 연기에 감동받았습니다."
"171","미나리","8","울리지 않아서 더 좋았어요."
"172","미스터 존스","6","이런류의 이야기는 이젠 한계가.."
"173","극장판 귀멸의 칼날: 무한열차편","10","마지막 결투신만 볼테니까 3천원에 티켓 해줘요"
"174","용의자 X의 헌신","10","이시가미에게만 10점을"
"175","당갈","10","아미르캰의 영화는언제나 최고다"
"176","시간의 끝에서 널 기다려","9","저런 맹목적 사랑이 정말 있을까?어린시절엔 엄마가 전부인데 엄마를 잃은 아이에게 철없는 친구들의 괴롭힘. 그때 손잡아준 여자애는 구원자였고 희망이었고 행복이었겠죠. 각인된 오리처럼 무조건 따라간 감정이었으니까 그 사람을 잃고선 살 수 없었던게 아닐까.. 자신의 삶을 다 내어주고서라도  시간을 돌리고 싶었던.. 그 남자의 사랑에 가슴이 먹먹해져 옵니다"
"177","미나리","9","우리나라도 이런 영화가 나올련지"
"178","007 골든 아이","8","페테르스부르크를 뒤집어엎는 제임스본드.구소련 때는 상상도 못할..티나 터너가 주제가 불러. 골든 아아이~"
"179","협상","9","영화잘봐습니다손예진누나좋아합니닫"
"180","협상","9","영화잘봐습니다손예진누나좋아합니닫"
"181","덕구","10","어린시절 누구나 기억하는 내편나의 모든걸 다 받아주신 내편할아버지 가슴에 자연스럽게 뭍혀있는기억을 다시 생각나게 하는 영화네요다시 어린시절 국민학교 때로추억을 되살아나네요"
"182","미나리","8","음악이 잔잔하고 데이빗 넘 귀엽습니다"
"183","꾼","10","넷플릭스에 있길래 우연히 봤는데 생각보다 넘 재밌네요. 마지막 엔딩 장면보니 시즌2도 나올것 같은데.. 제작 예정이시라면 빨리 크랭크인 해주셨으면 좋겠네요.. 넘 재밌게 봤습니다!"
"184","꾼","10","넷플릭스에 있길래 우연히 봤는데 생각보다 넘 재밌네요. 마지막 엔딩 장면보니 시즌2도 나올것 같은데.. 제작 예정이시라면 빨리 크랭크인 해주셨으면 좋겠네요.. 넘 재밌게 봤습니다!"
"185","변신","10","엔딩 음악만이 구슬프고 서글프다."
"186","기생충","1","너무 별론데...  봉준호..  설국이나 기생충같은 억지로 교훈 줄려는 영화 그만 만들고.. 살인의 추억 같은 영화를 만들어라.."
"187","미나리","8","영화 좋았습니다 함께 힘내서 살아가는모습이 위로가 됐네요"
"188","미나리","8","어려운 시대를 담담히 풀어나갔거 같습니다."
"189","미나리","8","어려운 시대를 담담히 풀어나갔거 같습니다."
"190","미나리","9","영화 도입부부터 나오는 OST 영화에 빠져든다. 척박한 땅을 개척해 나가는 모습~ 우리민족이라는게 자랑스럽다."
"191","최미역행","1","뭔 내용인지도 모르겠고 내용도 중뽕이랑 지들 잘 못 덮으려는게 너무 환하개 보여서 역겹다"
"192","이터널 선샤인","9","22살때 봤을땐 뭔 내용인지도 모르고 이게 왜 명작인가 싶었는데 딱10년후 32살때 다시보니 전부 이해간다 왜 명작인지 알겠다"
"193","이터널 선샤인","9","22살때 봤을땐 뭔 내용인지도 모르고 이게 왜 명작인가 싶었는데 딱10년후 32살때 다시보니 전부 이해간다 왜 명작인지 알겠다"
"194","장난스런 키스","6","관객들에게 장난스럽게 로맨스."
"195","당신을 오랫동안 사랑했어요","10","아 너무 좋다... 프랑스 영화는 영상미만 예쁘다고 생각했었는데.. 잔잔한 흐름도 마음에 들었고 나오는 비지엠들마다 다 좋았음.. 영화 크레딧이 올라가고 비지엠 듣고 싶어서 끝까지 본 영화"
"196","미쓰백","9","세상안 아무리 지옥같은 인생이라도 사랑의  구원자는 있었다. 사랑이란...장면, 장면중 보는내내 가슴이 아파 결국 눈물을 남겼다.연출, 연기, ost 다 좋음!"
"197","미나리","6","오늘 미나리 영화 개봉해서 넘좋네 조만간에 영화 보러 올것 요즘 코로나 땜에 영화 보러 가지 못했음 코로나가 얼른 끝나기 바람 ㅋㅋ"
"198","미나리","6","오늘 미나리 영화 개봉해서 넘좋네 조만간에 영화 보러 올것 요즘 코로나 땜에 영화 보러 가지 못했음 코로나가 얼른 끝나기 바람 ㅋㅋ"
"199","극장판 귀멸의 칼날: 무한열차편","10","휴... 빨리 다음편 마렵다구요!! 넷플릭스에서 무한열차 전까지 다 나와서 이틀밤 세서 보고 얼릉 영화보구 뒤에 이야기는 만화로 다 봤습니당  스토리는 물론 너무 좋지만 영상미가 완전 눈이 즐거우요. 너무 재밌었어요"
"200","그린 북","10","그린북 열번 정도 봤습니다. 다들 꼭 보시길 바랍니다"
"201","아일랜드","8","지금보니 현재가 더발달됐네ㅋㅋ장기만 복제하자"
