"","vtitle","vpoint","vreview"
"1452","미나리","10","우연히 서치하다 보게된 영화.내용은 완전 진부하다고 느낄수있는데여주..남주 너무 이쁘고 사랑스럽고 순수하고...그냥 보면 압니다아..어린날의 순수했던 시절이 그립네요"
"1453","미나리","10","최근 연예인 학폭 뉴스가 많은 시점에서우연히 보게 된 영화가 관련 된 걸 알고 보았는데.... 모든 면에서 정말 대단한 영화네요.정말 꼭 보셨음 하는 영화네요.연기인지 실제인지 헷갈릴 정도..."
"1454","극장판 귀멸의 칼날: 무한열차편","8",""
"1455","PMC: 더 벙커","10","보는 사람들마다 다르겠지만 어쨌든 전쟁으로 인해 평범한 일반인들에게는 다 똑같은 아픔이고 상처를 남긴다는 것. 한국의 아픔을 기억하기 위해서라도, 잊지 않기위해 꼭 봤으면하는 작품입니다."
"1456","미나리","1","추천한 넘이랑 손절함."
"1457","극장판 귀멸의 칼날: 무한열차편","10",""
"1458","세자매","10","굉장히 잘 만든 영화 두번 봣습니다"
"1459","그랜드파더","10","공포물 매니아로써, 이 영화 개수작임."
"1460","미나리","10","유전무죄 무전유죄아직도 누명쓰는 사람은 있다."
"1461","미나리","5","모든 것이 혼돈 그 자체... 갈피를 잡을수 없은 무의미한 이야기."
"1462","미나리","4","OOO중 OOO. 이런 영화 제작할 돈우로 자선단체 기부나 해라. 일단. 이 많은 배우들을 모아서. 이런 OOO룰.   만 들수 있는 것도 재주긴하다"
"1463","미나리","10","연기  영상미 스토리 브금 어느 하는 빠진구석이 없다 하나 흠이라면 중국이지 ㅅㅂ...후 진짜 지렸다"
"1464","극장판 귀멸의 칼날: 무한열차편","10","생각보다 재밌네요!! 허접헐줄 알았는데 생각보다 음향효과도 좋고반전에 반전에 반전을 거듭한 ㅋㅋㅌ 재밌어요그리고 연기자분들 자체가 다 연기잘하시는분들만 모여서 믿고보는 연기 ㅋㅋ액션도 짧고굵네요볼까말까 하시면 추천합니다 ㅋㅋ 띵작까진아니지만 재밌네요"
"1465","PMC: 더 벙커","10","여자판 노인을 위한 나라는 없다 였다 완전 시간가는줄 모르고 봄, 음악도 쥑이고 연기력 쩌는 처음본 주인공 여배우"
"1466","미나리","10","이렇게 잘 만든 영화가 평점이 이 정도.그만큼 한국영화 수준이 높아졌고 눈높이도 높아진듯.믿고보는 하정우 영화.더 세련되어진 더테러라이브."
"1467","극장판 귀멸의 칼날: 무한열차편","10","많은사람들이 보면 좋겠어요.. 현재 우리사회 모습이네요 ㅜㅠ 너무 슬퍼요 아이들을 구하고 싶어요..."
"1468","세자매","9","배우들 캐스팅이 정말 잘 된 것 같다. 그리고 유려한 촬영기술이 돋보였다."
"1469","그랜드파더","3","왜 남녀노소 안 가리고 통하는 매력적인 살냄새를 가진 게 죄다 젊은 미녀라는 설정인지 도무지 이해가 안 가는 게 이 영화의 가장 큰 문제. 체취는 면역체계와 관련이 있어서 모두에게 싫은 체취(위생 상태가 불량하거나 특수한 질병이 있는 경우)는 있어도 모두에게 환상적으로 좋게 느껴지는 체취는 없다던데.... 설령 있다고 해도 한 도시에 13명이나??? 절레절레.... 배우들의 훌륭한 연기 덕에 간신히 집중이 되려다가도 자꾸 ‘이게 말이 되나...’하는 생각이 떠올라서 결국 몰입이 안 됐다. 만약에라도 리메이크한다면 귀여운 어린아이, 젊은 미남, 나이가 좀 들었거나 얼굴이 잘생긴 건 아니지만 체취가 매력적인 사람, 영양상태가 특별히 좋은 사람 등등도 피해자에 포함시키길. 그래야 그나마 납득이 갈 듯. 죽어나간 이름도 사연도 없는 피해자들은 구시대적인 스토리의 장치로 소모되었다고밖에 안 느껴진다. 원작 소설이 1970년대 책이라 하고 영화도 2006년도 것이니 아무래도 체취에 대한 개인의 선호와 유전적 면역체계의 상관관계가 반영되지 않은 점은 이해해 줘야 하나? 주연배우들의 연기가 아까웠다...."
"1470","미나리","9","데이빗 그리고 가족의 성장영화..마지막은 리틀미스선샤인을 연상시킵니다"
"1471","미나리","8","심오하다 개인적으로 이런영화 괜찮다"
"1472","미나리","10","오래만에 감동적이고 긴장감있는 영화를 본다"
"1473","미나리","10",""
"1474","극장판 귀멸의 칼날: 무한열차편","4","오히려 이 영화는 반기독교적이어서 고평가 받았던 것 뿐. 영화로서의 매력은 꽝임. 영화는 영화로 평가해야지."
"1475","PMC: 더 벙커","10","이 영화를 보고 암이 나았습니다이 영화를 끝까지 보신분은 담배도 끊을수있고 모든일이 잘 풀릴것입니다. 당신의 참을성과 끈기와 인내 그리고 항마력이라면  무엇인들 못하리요. 생각해보니 그반대엿소 2시간동안 뭐한것이오 사람은 맺고 끊음이 중요한것이거늘 적당히 눈치 채고  그시간에 똥이라도 싸고오면 시원하기라도 하지뭘 기대한것이오. 0.1초도 웃을수없엇던 영화.. 나름 개그포인트라고 넣은장면도 발연기에 찡그리게되고 비급으로 일부러 발연기 주문했다면 그 의도는진짜 의도의 참신성을떠나 영화라는 장르의 존재 아니 나름 시간들여 본 관객들을 개 무시하는 처사다.앤만하믄 리뷰 안다는데 좀 심해서 안달수가 없다.어휘력이 딸려서 이 거지같은 기분을 표현을 못하겠다 아무튼 너무 답답하고 더럽게 재미없는 영화였다"
"1476","미나리","9","그가 위대한 건 순수해서도, 완벽해서도 아니다. 순수하게 완벽한 단 하나의 영역을 영원토록 간직했기 때문이다."
"1477","극장판 귀멸의 칼날: 무한열차편","10","난 재밌던데"
"1478","세자매","9","닿을 듯 닿지 않는 환상. 영화 전반의 미완성성은 영화의 환상과 몽환을 증대시켰다. 마치 안개 속에서 환상적인 풍경을 보는듯한 느낌"
"1479","그랜드파더","10","완벽해요... 만화책원작이지만 만화책 보다 내용 전달이랑 감동이 너무 잘 전달되다 못해 가슴에 박히네요.."
"1480","미나리","8","사건을 해결해나가는 맛은 1편보다는 덜하다 그래도 속편치고는 괜찮은 편 평점 7.9"
"1481","미나리","10","우마이! 영상미에 압도 당했다"
"1482","미나리","2","이렇게 짜증나는 영화 오래만이다 이런영화가 평점 9점대 라는게"
"1483","미나리","3","컨저링, 인시디어스를 너무 참고하셨네요 우리의 신파까지 곁들여 너무 진부합니다 김남길님은 정말 다작하셔서 자주좀 봤으면 ... ps 짧게 나온 명진이 우는 연기 인상적임"
"1484","극장판 귀멸의 칼날: 무한열차편","10","감동적이고 좋았어요 우리아들이 5살이라 좀 더 와닿았어요"
"1485","PMC: 더 벙커","8","누군가가 나한테 재밌는영화를 추천해달라고하면 1순위로 머릿속에 떠오르는 영화.. 수많은 영화를 봐왔지만 세손가락 안에 드는 영화"
"1486","미나리","3","일단, 무엇보다 재미가 너무없고 지루하다?"
"1487","극장판 귀멸의 칼날: 무한열차편","10","액션 영화의 교본 시가 총격전거장 배우들의 만남"
"1488","세자매","10","국딩시절 극장서 봤던. 무서워서 눈감고 봄"
"1489","그랜드파더","6","이게 그렇게 높은 평가를 받을만한 작품이였나 이해하기 어려운 작품 기승전결이 아니라 기ㅅ그리고 없음인 작품"
"1490","미나리","10","삶에 지쳐있었는데 많은 위로가 되었습니다."
"1491","미나리","8","애기들 괴롭히지마세요 진짜"
"1492","미나리","10","재밌는데 평점 왜 낮아여?!!!"
"1493","미나리","10",""
"1494","극장판 귀멸의 칼날: 무한열차편","10","재밋게 잘봣ㄴ오요 ㅎㅎㅎㅎ"
"1495","PMC: 더 벙커","8","기대를 아예 안하고 봐서 그런가 괜찮았음 중간에 웃기는 장면들도 있고 쏠쏠하게 재밌게 봤음"
"1496","미나리","1","알바에요 다들? 맙소사 워매"
"1497","극장판 귀멸의 칼날: 무한열차편","7","모난 돌도 부대끼며 살아가는 혹은 살아갈 수밖에 없는 그 곳"
"1498","세자매","6","솔직히 말해서재밌거나 루즈한거 싫어하시는 분들은 보면 안됌. 그냥 언제 하이라이트나오지? 하다가 끝남 결말이 끝맺음이 없음 허무"
"1499","그랜드파더","10","보석같은 영화입니다."
"1500","미나리","10","관람평들 다 왜이래욬ㅋㅋㅋ비급 병맛 좋아하시는 분들이면 무조건 좋아하실듯해요 전 간만에 완전 웃으면서봤어요!제발 이런 병맛 영화좀 더 만들어지길"
"1501","미나리","9","열심히 가꾼 채소보다 스스로 자라는 미나리가 더 건강하듯이, 힘들게 애쓰지 않아도 그들은 잘 살아갈 것이다."
"1502","미나리","10","이상하다..전 너무 재밌던데요 같이 보는 사람들 다 너무 재밌게봤어요"
"1503","미나리","10","보면 볼수록 타짜 1에 OOO 않는 스토리"
"1504","극장판 귀멸의 칼날: 무한열차편","10",""
"1505","PMC: 더 벙커","3","뭔가 심심한 내용이였다"
"1506","미나리","8","40대 주부입니다. 세자매가 잠든아이들곁을 서성일때... 제 모습같아서 여운이 많이 남습니다. 우리들의 삶이 그렇죠 아둥바둥 살아가는데.. 무엇을 위해 사는지 왜 사는지... 미연이 배게에 대고 울때.. 저도모르게눈물이.. 저도 그래봐서 그랬나봐요. 좋은 이야기와 멋진배우님들.. 제 인생영화될듯해요"
"1507","극장판 귀멸의 칼날: 무한열차편","8","액션씬이 화끈하고 부드러운 프로다.. 담편을 기대해볼만한 영화.."
"1508","세자매","8","꿀잼. 평점 다 무시하셈 애들영화 아님"
"1509","그랜드파더","10","눈물 쏟고싶을때 보는영화모든게 완벽함"
"1510","미나리","10",""
"1511","미나리","2","진찐 유치하네~! 이번 감독은 앞으로 열외"
"1512","미나리","10",""
"1513","미나리","10",""
"1514","극장판 귀멸의 칼날: 무한열차편","10","왜 정의가, 진실이 은폐되고 왜곡되는지 우리 모두는 알고 있다. 그것들을 향해 용기내 맞서싸워준 소중한 우리 국민여러분들에게 조용히 조의를 표합니다."
"1515","PMC: 더 벙커","10","극장에서두번봣는데 넷플로  다시봐도 웃기네"
"1516","미나리","10",""
"1517","극장판 귀멸의 칼날: 무한열차편","1","다들 영상미 칭찬만 하고 스토리 부족하다고 하는데 왜 그러면서 8점9점 주는지 이해가 안간다. 영화에 CG가 들어가는거지 영화는 CG가 아닙니다. 음식먹을때 맛은없는데 화려하고 이쁜 음식에 9점 주진 안잖아요."
"1518","세자매","10","미국인말고 다른 나라사람이, 그것도 한국인이 지구를 지키는 영화 처음봅니다! 김태리씨 연기도 넘 좋았고 업동이 박씨 꽃님이 모두 연기 최고♡ 송중기씨 말할것도 없고요. 재밌어요!"
"1519","그랜드파더","7","독립영화 티가 나지만 가끔 웃음나는 장면들도 있고 진정성이 느꺼지고 후반부에 마음 아프면서도 감동이 있다. 윤여정의 연기가 자연스럽고 훌륭하다.외국영화제 상을 휩쓸면서 작품성을 인정받고 화제가 되지 못했다면느린 템포와 단조로운 배경등으로 인하여 한국에서 흥행하긴 어려웠을 듯한 영화.미국에서 힘든 삶을 살아가는 이민자 가족간의 애환과 갈등, 그리고 애정이 외국인들의 가슴을 울리면서 각광을 받고 있는 듯하다.   너무 기대하고가면 실망할 수 있지만 그런대로 좋은 작품."
"1520","미나리","10","말이 필요한가요 봐야합니다."
"1521","미나리","10","어릴때 보고, 또 봤는데도 좋다. 물론 브래드 피트가 나와서 낚시 했다는 기억밖엔 없었는데~~잔잔하게 인생을 돌아볼 수 있음. 찬란하게 빛나던 눈동자~~눈부시다. 나의 청춘~~"
"1522","미나리","10","눈물 광광 흘리면서 봤음..."
"1523","미나리","10","지렸다 진짜.... 꼭 보세요"
"1524","극장판 귀멸의 칼날: 무한열차편","10",""
"1525","PMC: 더 벙커","8","볼만해요~ 지금 사랑하는 사람과 살고 있나요?라는 질문에 대한 또 다른 질문과늦은 사랑에 대한 애틋함과 사회의 선입견 및 결혼제도의 타당여부에 대한 의문 등 한번쯤 깊이 생각하게끔하는 작품이죠~ 다만 명작인데 책에서보다 삭제된 장면도 많아서 아쉽고 실망스러운 건 사실입니다.영화는 언제나 책만큼 못한거 같아요.글로 생동하게 묘사하는 작가들을 더 존경합니다.책땜에 선택해서 봤고기대에는 못 미쳤지만 잘 봤어요~"
"1526","미나리","10","처음엔 주인공 보고 보기 시작했는데, 어느새 빠져서 보고있음. 살짝 긴장감도 있고, 인생을 생각해 보게 됨. 복고풍에 미래가 섞인 듯~~"
"1527","극장판 귀멸의 칼날: 무한열차편","7","주연 남여가 왤케 매력이 없냐 , 아놀드 형님이 제일 연기 잘하네"
"1528","세자매","1","돼지 바보 고릴라 원숭이"
"1529","그랜드파더","10","이런게 찐이지. 덩케르크를 뛰어넘는 秀作."
"1530","미나리","10","코로나로 인하여 하수구구멍에 머리카락과 오물이 가득껴있는 상황. 그 오물과 머리카락을 싹 청소한 느낌이 드네요. 이런 힐링과 성찰의 영화를 주기적으로 봐야 하는데 너무 오랜만에 봤네요. 인사이드아웃이랑 비슷한 맥락이여서 더 좋았네요. 진짜 중요한게 무엇인지 모르고 헛노력에 온 시간을 투자하는 잘못된 네비게이션을 바로잡아주는 중요한 영화."
"1531","미나리","10","바보 돼지래요 재미이써요 메롱"
"1532","미나리","10","굿굿 간만에 재밌게 봤습니다~"
"1533","미나리","10","쉽게 질리는 스타일이여서 영화 본거는 졸거나 잘 못보는데와 이 영화는 4번 보고도 또 볼수있을 정도로 대박이예요ㅜㅜ4번보고 4번 움ㅜㅜ"
"1534","극장판 귀멸의 칼날: 무한열차편","2","재미없고 너무 유치하다 드라마 스페셜로나 만드는게 좋았을것 이해안가는 관객수와 평점. 운이 좋았다"
"1535","PMC: 더 벙커","10","마션의 그 아재 맞나 싶었다. 맷 데이먼 잘 생겼다. 리플리 진짜 나쁜데 사이코에 살인마인데. 잘생겨서 매료됨. 그걸로도 이 영화는 소장가치가 있음. 이탈리아의 풍경들도 그렇고. 아름다움. 영화 내용은 잔인한데 그 만큼 신비롭고 아름다웠음."
"1536","미나리","10",""
"1537","극장판 귀멸의 칼날: 무한열차편","10","우연 찮은 기회에 터키 영화 첨 봤어요. 그래서 전혀 기대 하지 않았는데.. 오~ 근래 몇 년동안 본 영화 중 최고입니다. 영상미, 배우들의 연기, 카메라 워크, 복선..등등 그리고 결말까지도, 모든 게 감동입니다!"
"1538","세자매","10","크게 기대안하고 갔는데 너무 좋았습니다.특히 윤여정 선생님과 남자아이의 연기는 정말 최고예요!"
"1539","그랜드파더","6","생각보다 한국말을 잘해서 현실고증 잘되어버린 스티븐연의 K-아버지를 보느라 답답했고, K-부부싸움도 익숙해서 그냥 내가 미국인이 아니라그런가 엄청 센세이션하진 않았다. (윤여정 선생님의 연기는 센세이션하긴 했네! 연기 좋았음ㅜㅜ)"
"1540","미나리","10",""" 미나리=희망 ""제 개인적인....생각입니다...."
"1541","미나리","10","매기는 천국가고프랭크는 다 용서받을 예정해피앤딩 울필요 없어영"
"1542","미나리","6","연기는 모든 배우가 다 훌륭하지만 미나리 소재의 뻔한 의미, 질질끄는 감정신을 롱테이크로 잡는게 조금 버거웠다. 기생충만큼의 재미를 기대하고 가면 실망할 것임. 그리고 갠적으로 윤여정 배우보다는 한예리 배우의 연기가 더 좋음."
"1543","미나리","8","세상 모두가 공감할 수 없다해도 내가 공감합니다.이 아픔은 벗어날 수 없어요..내가 살아가고 있으니.."
"1544","극장판 귀멸의 칼날: 무한열차편","10","이 명작은 이제야 봐서 아쉽고 지금 봐서 좋았다"
"1545","PMC: 더 벙커","10","영화관에서 보기 전에 두번 봤고  개봉 첫날 영화관에서 세번째  봤다. 드디어 자막이 있어 완전한 이해를 할수 있었다. 세번을 보는데 영화가 더 재밌더라. 그리고 매번 같은 대목에서 울게 되더라. 감동적이고 좋은 영화다."
"1546","미나리","6","가볍게 볼 수 있는 코믹 영화!!"
"1547","극장판 귀멸의 칼날: 무한열차편","10","헐 저는 엄청 재밌게 보았는데.진짜 몰입감 최고. 평점이 생각보다 낮네요.아니면 내 영화보는 안목이 낮은건가"
"1548","세자매","10","나이가 40이 넘은 이 나이가 되니, 예전 어릴 때 몰랐던 이런 밋밋한 영화가 감동을 주는구나.."
"1549","그랜드파더","5","시리즈 중 젤 재밌음. 여태껏 가장 많이 웃은 시리즈. 무엇보다 급하게 마무리를 지은 느낌이 없음.  시리즈 대체적으로 코믹 하나는 기깔나게 뽑네. 단 추리물을 기대하고 본다면 비추. 보다보면 추리물이라는걸 잊게됨"
"1550","미나리","7","보는내내 내가 숨이다 막혔다. 코로나는 이거보다 더 심한 느낌이.."
"1551","미나리","10","아 인생영화 또 생겼네;;"
"1552","미나리","10","한국적 정서가 잘 드러나는 영화였고,척박한 땅을 일구는 모습이 이민으로 낯선 세상과 맞닦드려 정착하려는 의지가 느껴졌고, 미나리처럼 생명력 강하게 살아가자는 의미가 있는 영화였습니다."
"1553","미나리","10","보는 내내 눈물이 멈추질 않았다... 너무나 사랑스럽다.. 먹먹하다.. 할머니의 마지막 눈빛... 잊혀지지가 않는다.. 너무나 여운이 많이 남는 영화...."
"1554","극장판 귀멸의 칼날: 무한열차편","8","노래랑 영화속 풍경과 이방인으로서 살았을때의 느꼈던 감정의 공감 스티븐연과 한예리 연기가 그렇게 와닿지 못했는데 병원뒷씬에서 스티븐연의 눈빛 연기가 기억이 많이 남았다 사랑은 안되고 돈은 된다고 믿어도 결국 사랑이 우릴 묶어놓은 가족관계가 계속 영화를 보고 나서도 생각이난다 미국에서 잠깐 지냈던 교포가족들이 생각남. 서로 울퉁불퉁하고 다른 한국가족들 욕하고 이세 언니동생이 일세대 아버지가 영어 하면 비웃고 딱 한국말도 저렇게 했는데 그언니가 미나리보고 아저씨의 삶을 이해하고 존중해줬으면 한다"
"1555","PMC: 더 벙커","8","통쾌하다. 근데 페미들아 어따 대고 네들이랑 비교하냐"
"1556","미나리","5","분량 조절 실패했나? 마무리가 어쩌다 재산 몰수됬는지 알수가없다. 가볍게 웃기긴 한데 완성도나 스토리가 영 흐지부지 단단하지가 못하다. 그래도 웃기긴 웃기다. 코믹요소는 잘 살린듯"
"1557","극장판 귀멸의 칼날: 무한열차편","9","넘지 말아야 할 선을 넘어버린 결과는 불행했다"
"1558","세자매","4","한국인은 나오는데..한국정서는..할머니만 조금 있는듯..수상내역에 비해..흠..글쎄요..솔직히..저는 그냥.."
"1559","그랜드파더","10","짙은 냄새에 눈이 시리고,쬐는 햇빛에 웃고 싶어지는 영화"
"1560","미나리","4","한번 더 봐야 내용 이해가 되려나? 딱히 기억에 남을만한 장면이 없음. 여주가 기가막히게 이쁜거 밖에 기억이 안남. 다음에 기회되면 한번 더 보고 다시 오겠음"
"1561","미나리","7","처음 볼 때는 미스테리, 두 번째 보면 너무 슬픈 영화."
"1562","미나리","10","다소 아쉬운점은 있으나 그래도 별점 만점줄 재밌는 영화"
"1563","미나리","10","진짜... 보는내내 유아 전문가들이 아이에게 해가 되니 하지말란건 싸그리 탕탕친부모들이 다 했다는게 ㅋㅋㅋㅋ진짜... 아이의 취급이 애완동물만도 못하다 싶었다..애는 태어나고싶다 말한적 한번도 없다...부모라는 두 인간이 지들 멋대로이 세상에 아이를 초대해놓고,초대한 손님을 이리 막 대한다는게 도대체 무슨조화속인지...ㅠ"
"1564","극장판 귀멸의 칼날: 무한열차편","2","책 진짜 쓰레기네. ㅋ 감독 찐ㄸ 인거 모르는 사람 없는 것 같고, 근데 야 연기를 아무도 안 해? 감독이가 안 시키든? 류승범은 세계 여행 다니더니 연기 던져버리고 단촐하게 양아치만 들고 다니네?"
"1565","PMC: 더 벙커","10","연기도, 영상도, 음향도, 조명도, 모두 훌륭한 영화여서 모처럼 즐겁게 관람했습니다."
"1566","미나리","1","액션연출부터 짜여진 합, 배우들의 소화 능력까지 너무 허접하기 짝이 없어 몰입이 1도 안됐던 영화. 내가 본 사극액션 중 최악이었음."
"1567","극장판 귀멸의 칼날: 무한열차편","8","나나 완전 이쁨 재미 있음 꼭 보세요"
"1568","세자매","10","안녕디지몬  함께해줘서 고마워"
"1569","그랜드파더","10",""
"1570","미나리","10","누군가에게 추천해주고싶은 인생영화가 됐다!"
"1571","미나리","10","요즘 아동학대가 너무 심각해져서 참 마음이 아픕니다"
"1572","미나리","10","정말 힐링시켜준 힐링영화!"
"1573","미나리","8","자본주의에서 살아남기"
"1574","극장판 귀멸의 칼날: 무한열차편","10","낙하산 장면 하나만으로도 10점짜리네요. 딥스테이트와의 싸움."
"1575","PMC: 더 벙커","10","클로이 모레츠는 여전히 이쁘고 톰과 제리 콤비는 여전히 재밌고 ?(?????)?♡"
"1576","미나리","8","날아올라라, 너를 위해 발판이 될테니"
"1577","극장판 귀멸의 칼날: 무한열차편","8","내 것을 지키기 위해 남의 것을 뺏어야 하는 자본주의 속 비극"
"1578","세자매","8","한번쯤은 용서해줄수도 있지않나? 이생각과 마지막은 한없이 씁쓸했다. 저럴거면 열과 성을 다해 붙잡던지"
"1579","그랜드파더","10","마지막 장면에서 울어버렸다. 타마코가 더 많은 감정들을 깨닫고 배워가며 그렇게 사랑하며 살아갔으면 좋겠다. 타마코와 마치조가 부디 행복하길. 더불어 미도리도..."
"1580","미나리","1","0점 없는게 아쉽다. 이건 보지 말자"
"1581","미나리","1","0점 없는게 아쉽다. 이건 보지 말자"
"1582","미나리","10","영화자체가 세계공용어!"
"1583","미나리","10","Strong 미나리 is Wonderful~! 끈질기고 강인한 생명력을 지닌 미나리 처럼 보이기엔 담백하면서도 그 속에 깊은 향을 품고 있다."
"1584","극장판 귀멸의 칼날: 무한열차편","8","사랑해 주고 질투해 주고 도움 주고 할거 다 하더니 소프트웨어 업그레이드 하느라 데이터 처리기술을 확 바꾼다고 갑자기 연락두절. 나 말고 누군가를 또 사랑해? 응 641명. 사랑할수록 마음의 용량도 커지니까 난 당신거면서 당신게 아냐. 컴퓨터는 생활을 유용하게 할뿐 심리 치료사는 아닌가 보다."
"1585","PMC: 더 벙커","6","현실성과의 타협따윈 너클볼처럼 던져버려!"
"1586","미나리","8","나는 개그코드가 B급 갬성인가봄.. 개웃었는데 평점 처참하네"
"1587","극장판 귀멸의 칼날: 무한열차편","10","재미있게 봤어여. 다시한번 더보고싶네요"
"1588","세자매","9","흘려보냈기에 바다가 되었다."
"1589","그랜드파더","10","오랜만에 킹스맨 이후로 진정한 MAN 영화 정말 재밌는 영화 잘 봤습니다."
"1590","미나리","9","목표를 이루지 못하더라도 끝까지 달려본 사람의 삶은 성공한 삶이다."
"1591","미나리","10","요즘 한국요리 전세계 완전 난리 났는데.ㅎㅎ   지금 다시 보니 더 재밌네.ㅎㅎ"
"1592","미나리","10","목소리 천재 단순히 노래만 잘하는 것이 아니라 음악사랑 팬사랑이 듬뿍 담겨있다 현장에서는 시원한 가창력에 아레나 지붕이 뻥 뚫리는줄 알았다  넷플릭스에도 오픈되어 정말 좋다"
"1593","미나리","10","지금 살아있음에 감사해야한다!!부모님 생각이 많이나네요 ㅠㅠ"
"1594","극장판 귀멸의 칼날: 무한열차편","6","원작만큼의 강렬함이 느껴지지 않는다"
"1595","PMC: 더 벙커","9","별기대 안하고 봤는데 담담하게 이야기를 하는 영화임 세자매로 나오는 배우들 연기가 매우 리얼하고 뛰어났습니다. 한국영화에서 보기드문 매우 잘만든 수작임"
"1596","미나리","9","예상치못한 반전 대박이네여"
"1597","극장판 귀멸의 칼날: 무한열차편","10","젊었을땐 화려하고 빛나는사랑을 동경했지만점점 시간이 흐를수록 잔잔한하고 깊은 성숙한 사랑을 바라게 되더군요.난 왜 당신을 부족하다고만 생각했을까..이 대사가 젊은날의 저를 반성하게 만드네요사랑이 사람을 변하게 한다는게 얼마나 대단한 일인가요.. 정말 좋은 영화였습니다"
"1598","세자매","1","기대를 너무 많이하고 봐서 그런지 아쉬웠어요. 초반 설정 빼고는 뒤로 갈수록 너무 지루하고 감독의 메세지도 전 잘 모르겠어요 ㅠㅠ 한예리씨 팬인데도 불구하고, 연기도 아쉬웠고 윤여정님은 가지고 있는 매력을 1도 못보여주고 소비된 느낌 ... 평론가들이 극찬한 영화니까 제가 모르는 뭔가 많겠죠;;; 아무튼 전 아주 많이 아쉬웠습니다"
"1599","그랜드파더","1","주인공버프인가요칼 창 못해도 열번넘게맞고도 터미네이터처럼 잘싸우네"
"1600","미나리","1","주인공버프인가요칼 창 못해도 열번넘게맞고도 터미네이터처럼 잘싸우네"
"1601","미나리","4","뮤지컬 영화인만큼 다른 영화보다 티켓이 비쌌지만 그만큼 기대감이 높았습니다. 각각의 배역에 잘 어울렸고 배우들의 연기력에 감탄했습니다. 그런데 기대가 너무 컸는지 실망감도 컸습니다. 일부러 정보를 많이 찾아보지 않고 관람을 했는데 시대 배경이 암울해서인지 한복 색깔이 다채롭지 못하고 대부분 하얀색 계통에 한복을 많이 입고 나와서 아쉬웠습니다. 또한, 뮤지컬 영화라는 점을 감안해도 소리가 너무 커서 귀를 막고 봤습니다. 특히 스토리가 계속 전개되면서 노래와 연기가 같이 나오는 부분이 많다보니 거의 배우들의 대사가 들리지 않고 배경음악에 묻혀 뭉개지 듯이 들려서 집중할 수가 없었습니다. 관람 중 계속 집중을 못해서인지 영화 상영시간이 짧다고 느꼈습니다."
"1602","미나리","10","너무 재밌어서 두번 봤습니다.. 최고"
"1603","미나리","8","모험을 통해서만 얻을 수 있는 것들"
"1604","극장판 귀멸의 칼날: 무한열차편","1","평점 보고 봤는데 어이가 없었다. 10점 준 사람들이 중국인인지 의심될 정도.."
"1605","PMC: 더 벙커","7","영화관에서 보기에는 별루고 넷플릭스용으로는 볼만함."
"1606","미나리","10","아서로부터 측은지심과 현대인으로서의 공감을 느끼고조커로부터 카타르시스를 느꼈다호불호의 이유도 이해하지만 내겐 최고의 영화"
"1607","극장판 귀멸의 칼날: 무한열차편","8","굿 마지막은 씁쓸ㅠㅠ 재밌어요"
"1608","세자매","10","이 영화 어디에서 볼 수 있나요? 상영할 때 놓쳤더니 볼 수가 없네요. 네이버에서는 서비스를 안하고 있고요."
"1609","그랜드파더","7","무서워서 심장아파서 못보겠음"
"1610","미나리","7","위태위태한 감정선을 엮어 만든 수려한 공간예술"
"1611","미나리","4","이게 무슨 전문가에게 팔점 칠점 받을 영화냐. 팔이안으로 굽어도 정도껏이지 하여튼 우리나라 평론가란 작자들은 ㅉㅉ"
"1612","미나리","10","영상미 액션씬 스토리 뭐 하나 흠잡을것 없이 말이 필요 없다. 원작을 뛰어 넘었다."
"1613","미나리","10","황정민 와 지린다.ㄷㄷ   이때 부터 장난 아니었네.ㄷㄷ"
"1614","극장판 귀멸의 칼날: 무한열차편","10","무서운영화는 한국꺼 솔직히 기대안하고 실망하기마련인데 이거는 진짜 긴장감 쩔고 손가락안에 뽑힙니다 배우분들 하고 아역분들 연기때문에 더 몰입도가 있었고 잘봤습니다ㅠㅠ"
"1615","PMC: 더 벙커","8","백남매 완전 여우상 캐스팅 진짜 잘했네 ㅋㅋㅋㅋ 차라리 1,2편으로 나눠서 개봉했으면 좀더 스토리를 잘 담아냈을듯 싶지만.. 캐스팅 원작을 굉장히 많이 신경쓴 노력이 보이니까 나는 만족스러움"
"1616","미나리","9","진짜 감동적이었는데 ,, 평 왜이러집 ,,"
"1617","극장판 귀멸의 칼날: 무한열차편","10","잔잔하게 밀려오는 감동 가족의 소중함을 다시 한번 느낍니다"
"1618","세자매","9","메시지가 선명하게 느껴지는 영화는 아닐 수도 있습니다. 그럼에도 불구하고, 서로 다르지만 미나리처럼 성숙한 가족으로 자라가는 모습이 우리와 닮아 있어 마음 속에 오랫동안 남는 것 같습니다."
"1619","그랜드파더","8","영상이 아름답고, 이야기가 따뜻했어요"
"1620","미나리","10","12.12.02.너무 적나라하며 노골적이기도 한데, 무엇이던간에 누구도 잊어선 안 될 불명예스러운 과거인 건 사실이기에."
"1621","미나리","10","있는 그대로의 모습으로 가장 빛나는 별이 되길"
"1622","미나리","10","미장센이 너무 예쁘다 중국특유의 배경이 멋있다"
"1623","미나리","8","12.11.25.그저 그런 케이퍼 무비인줄 알았는데; 꽤 많은 생각이 드는."
"1624","극장판 귀멸의 칼날: 무한열차편","10","진짜 최고다 꼭  봐라 두번봐라"
