"","vtitle","vpoint","vreview"
"134","극장판 귀멸의 칼날: 무한열차편","10","보는 내내 나는 울었다...ㅠㅠ몰라 왜 울었는지... 그냥 눈물이 났어..."
"135","PMC: 더 벙커","10","최고임 어쩌다 마주친 행운의 영화"
"136","미나리","10",""
"137","극장판 귀멸의 칼날: 무한열차편","8","윤여정 씨의 연기는 어느 드라마, 영화에서처럼의 모습이었는데 이런 모습에 열광한다니 앞으로 윤여정 씨나 다른 한국 배우들이 헐리웃에서 활동할 날이 멀지 않음을 느낀다. 너무나 사실적인 상황과 묘사에 따뜻하고 슬펐다. 한예리와 스티브연, 아역 배우들의 연기가 정말정말 좋았다. YJ는 말할 것도 없다."
"138","세자매","9","당시엔 어려서 얼마나 심각한지 몰랐는데 좋은 공부 한거 같네요"
"139","그랜드파더","10","동심으로 돌아간 느낌이어서 좋았어요~ 클로이 넘 예뻐"
"140","미나리","8","좋은데 난해하기도 해서 어렵네요."
"141","미나리","10","영웅본색에 윤발님이 있다면, 귀칼엔 렌코쿠가 있었다!! 렌코쿠~ 넌 참 멋진 놈이야"
"142","미나리","10","음악이 참 좋았어요. 뭔가 생각을 많이 하게 되는 영화네요. 괜찮았어요~!"
"143","미나리","10","세 번 봤지만 잼있네요! 정재영 연기 잘하고 한지민은 상큼합니다!! 계획을 세워야해~ 알람을 맞춰야해~ 노래도 좋아요"
"144","극장판 귀멸의 칼날: 무한열차편","6","외국인들 눈에는 영화가 신선했나보다. 나에겐 스티븐 연 한국말 많이 늘었네 정도의 감흥."
"145","PMC: 더 벙커","10","이 영화는 미치다못해 경이롭다...."
"146","미나리","1","쓰레기 전범영화 퉤 이런영화는 소비 금지임"
"147","극장판 귀멸의 칼날: 무한열차편","10","8세 아이랑 함께 봤는데 너무 감동적이였어요."
"148","세자매","8","보는내내 속이 거북했어요..남자분들 혼자만 보세요 커플끼리는 비추해요..자극적이기는 엄청 자극적이에요..김강우 연기랑 연회장면이 기억에 남아요 여주인공 예쁘네요.."
"149","그랜드파더","6","가족이 아메리칸 드림 이루는 모습이 나왔으면 더 좋았을듯 연기는 굿임"
"150","미나리","7","이엘리야 이쁜맛에보긴봤는데.. 휠체어에 곰돌이인형.. 매달고 다니지마라.. 죽는다..진짜;;"
"151","미나리","6","색다른 영상미를 느낄수있었다. 배우들 연기잘함"
"152","미나리","9","고난 속에서 살아남는 가족 이야기. 기생충이 사회 부조리를 콕 짚어 내려다봤다면, 미나리는 현장 속으로 쑥 들어가 버린다. 연기, 촬영, 음악도 고루 좋은 듯"
"153","미나리","10","그냥 애니메이션을 보면서 영상에 압도된적은 처음이었습니다. 정말 최고네요"
"154","극장판 귀멸의 칼날: 무한열차편","10","할머니가 보고 싶어졌다."
"155","PMC: 더 벙커","8","잔잔하고 아름다운.미나리 옆 잔물결같은 영화."
"156","미나리","1","감독님, 촬영장에 불좀 키고 찍으세요."
"157","극장판 귀멸의 칼날: 무한열차편","6","내가 공감할수 없는 세대의 이야기 보고 나서도 여전히 공감하지 못했다"
"158","세자매","10","나의 어릴 적 동심과 추억을 예쁜 앨범으로 만들어 준 행복한 선물같은 영화"
"159","그랜드파더","10","조온나재밌음ㅋㅋ보는내내 개꿀잼"
"160","미나리","6","여기 나왔던 조연들은 다 대박이다... 지금 다 잘나가는 사람들만 나오네"
"161","미나리","10","간만에 한국영화 재밌어요 ^^"
"162","미나리","10","그럼에도 불구하고 꿋꿋하게!"
"163","미나리","10","최고의 영화입니다. 추천합니다."
"164","극장판 귀멸의 칼날: 무한열차편","10","담백한 연출이 좋았어요"
"165","PMC: 더 벙커","8","삶을 되돌아 보게 하는 잔잔한 영화입니다"
"166","미나리","10","4번 즙짰습니다1. 탄지로 꿈속 회상씬2. 렌코쿠 첫 기술3. 렌코쿠 부상 후 탄지로 오열4. 렌코쿠 사망 직전 어머니 재회씬진짜 귀칼은 전설입니다"
"167","극장판 귀멸의 칼날: 무한열차편","4","대한민국 관객의 눈은 높아졌음. 이게 뭐임."
"168","세자매","10","그냥 영화시작하고 20분지나고부터 계속 울었어요 휴지뽑고 닦고 다젖고 젖어서 계속 눈물났어요 마음이저릴듯이크게다가온영화에요 저는 할아버지가 아주애기때 돌아가셔서 추억이없어 공감되는스토리는아니였던 제가 이정도오열하는데 하 정말 너무감동받고 그냥 마음속 깊게 새기고싶은 영화입니다 너무 잘봤어요"
"169","그랜드파더","4","뭐 어쩌라는건지 기대가 너무 높았나 엥 스러웠다..갑자기 집에서 티비만 보고있으라니깐 구지구지 쓰레기를 태우고 미나리 찬양에...음;"
"170","미나리","10","이용철이는 평점이 항상 낮냐"
"171","미나리","7","킬링타임용 괜찮음.철부지가 현실을 깨닫고 철이 드는 과정.주연,조연보다 우정출연한 유지태의압도적인 장악력이 돋보이는 작품."
"172","미나리","8","진짜 가족같은, 모든 배우들의 연기가 넘 좋았어요. 특히 한예리 배우님의 연기가 이번에 눈에 띄게 좋았습니다. 윤여정 배우님의 새로운 할머니 역할도 참 인상 깊었고, 극의 중심을 잘 잡아주셔서 참 좋았습니다. 잔잔한 연출과 OST도 무척 좋았구요. 가족의 의미를 다시 새기는 좋은 영화였습니다."
"173","미나리","10","가장의 무게를 그 시대를 빌어 잘 표현한 영화입니다!!"
"174","극장판 귀멸의 칼날: 무한열차편","10","배우들의 연기력이 대박이다...."
"175","PMC: 더 벙커","8","소박하지만 담백하게, 어디에서든 피어날 사람들의 이야기"
"176","미나리","4","독립영화같은느낌차분하고조용한"
"177","극장판 귀멸의 칼날: 무한열차편","10","킬링타임으로 가서 봤는데 생각보다 너무 재밌게 잘봤어요! 후반부로 갈수록 휘몰아치네요"
"178","세자매","10","이영화 재밌어요 와우 대박 반전 !"
"179","그랜드파더","10","미쳤다 !!!슬펐다!!! 죽지 않길 바랬는데 ..."
"180","미나리","10","공감하면서 눈물흘리면서 재밌게 봤어요!연기 굿!"
"181","미나리","10","기대보다 더 좋았어요. 마음이 편해지는 영상과 음악, 거기에 배우들의 멋진 연기들까지 호평 받을만한 영화가 분명합니다. 가족들 데리고 한번 더 보러가고 싶네요"
"182","미나리","8","영상미와 음악이 큰 몫합니다. 보는 내내 먹먹해요"
"183","미나리","10",""
"184","극장판 귀멸의 칼날: 무한열차편","10","너무나도 감동스럽고 재밋엇습니다 추천합니다!!"
"185","PMC: 더 벙커","8","소재가 특이했고 영상미도 압도적이었음. 재미있게 보고옴."
"186","미나리","6","미국 이민자들의 고난과 시련을 알수 있었음"
"187","극장판 귀멸의 칼날: 무한열차편","10","띵작이다 띵작.. 왜 이걸 이제야 봤지"
"188","세자매","10","영상미가 좋아요 역시 귀칼"
"189","그랜드파더","10","잔잔하게 감동적 입니다."
"190","미나리","10","주동우가 차안에서 애처럼 우는게 정말 와닿고 나조차 눈물이 났다."
"191","미나리","10","재미있게 잘봤어요^^"
"192","미나리","10","재밌어요~ 애니 내용 몰라도 대충 이해됩니다"
"193","미나리","9","아무 생각없이 보다 얻어 걸린 대박영화네요...웃음과감동 그리고 적절한 공포....개봉한지 8년이 지난 지금 감상했습니다한국 뮤직 비디오에도 출연한 이력이 있는여주인 다비카후네~  지금도 유명하고 이쁘지만8년전 미모가 더 이쁜거 같네요!!"
"194","극장판 귀멸의 칼날: 무한열차편","10","인권씨를 좋아하는 팬으로써 안타깝네요.개성과 연기력에 걸맞는 좋은영화 만나시길..."
"195","PMC: 더 벙커","10","미쳤다진짜 어떻게 이런 영화를 만들 수 있지RPG 끊었는데 또 하고 싶어짐 ㅠ"
"196","미나리","10","와...내추억... 진짜 눈물나네여 ㅠㅠ"
"197","극장판 귀멸의 칼날: 무한열차편","10","재밌음!!! 배우들 케미가 쩖ㅋ"
"198","세자매","10","화염의 호흡 오의! 연옥!"
"199","그랜드파더","8","사모님 줘팰때 ㄹㅇ 통쾌해서 별4개줌"
"200","미나리","10","남주존잘 .. 여주존예 ... 아름답다"
"201","미나리","10","역작이다 두번봐라 ㅇㅇ"
"202","미나리","10","나는 지금까지 쌓아온 모든 관념과 압박을 버리고 주인공 소녀만큼 성장할 수 있을까 싶었던... 영화 재밌어요"
"203","미나리","10","Maybe human is devine."
"204","극장판 귀멸의 칼날: 무한열차편","10",""
"205","PMC: 더 벙커","10","오랜만의 스티븐연 얼굴을 볼 수 있어서 너무 좋았고 신파적이지 않아서 너무 좋았다"
"206","미나리","10","마음이 따뜻해지는 영화 ,, 잔잔하고 보는 내내 행복했다"
"207","극장판 귀멸의 칼날: 무한열차편","9","진지하고 묵직한 영화...마지막에 불씬은 여운이 많이 남았습니다..."
"208","세자매","10","주인공이 바뀌는건 아시죠?"
"209","그랜드파더","6",""
"210","미나리","10","가족의 의미... 미국에서 이런 영화를..."
"211","미나리","10","직이주네 영감이 피어오르는 감사한 영화네 이거"
"212","미나리","10","인생 애니메이션 영화. 특히 작화와 ost가 미쳤다. 너의 이름은과 날씨의 아이보다 더 재밌었던 영화."
